OG0004339: CAFRA.g5381.t1 CANGA.Cang_2012_03_13_00005.g399.t1 CBREN.CBN01020 CBRIG.CBG02720 CCAST.g5173.t1 CDOUG.g22128.t1 CELEG.T19H5.4a CJAPO.CJA11151 CKAMA.g4705.t1 CLATE.FL83_12743-RA CMONO.g19726.t1 CNOUR.g13621.t1 CPLIC.g11679.t1 CREMA.FL82_05895-RA CSINI.Csp5_scaffold_00438.g11377.t1 CSP21.g981.t1 CSP26.g20449.t1 CSP28.g12869.t1 CSP29.g6585.t1 CSP31.g27140.t1 CSP32.g14302.t1 CSP34.Sp34_20198210.t1 CSP38.g3009.t1 CSP39.g16337.t1 CSP40.g6196.t1 CTROP.Csp11.Scaffold629.g7914.t1 CVIRI.g7496.t1 DCORO.DCO_022139
OG0004446: CAFRA.g9324.t1 CANGA.Cang_2012_03_13_12083.g23559.t1 CBREN.CBN10213 CBRIG.CBG12610 CCAST.g17356.t1 CDOUG.g7121.t1 CELEG.ZC328.2 CJAPO.CJA04686 CKAMA.g3589.t1 CLATE.FL83_24125-RA CMONO.g11264.t1 CNOUR.g17994.t1 CPLIC.g3935.t1 CREMA.FL82_17881-RA CSINI.Csp5_scaffold_00087.g3855.t1 CSP21.g641.t1 CSP26.g3854.t1 CSP28.g17024.t1 CSP29.g5223.t1 CSP31.g7714.t1 CSP32.g11996.t1 CSP34.Sp34_10325900.t1 CSP38.g7610.t1 CSP39.g3791.t1 CSP40.g9394.t1 CTROP.Csp11.Scaffold630.g20361.t1 CVIRI.g14608.t1 DCORO.DCO_010637
OG0004549: CAFRA.g12203.t1 CANGA.Cang_2012_03_13_00247.g7843.t1 CBREN.CBN17182 CBRIG.CBG12867 CCAST.g897.t2 CDOUG.g16805.t1 CELEG.C01G8.5b CJAPO.CJA07452 CKAMA.g781.t1 CLATE.FL83_18006-RA CMONO.g7418.t1 CNOUR.g19154.t1 CPLIC.g3348.t1 CREMA.FL82_12485-RA CSINI.Csp5_scaffold_01154.g18826.t1 CSP21.g1024.t1 CSP26.g16232.t1 CSP28.g2914.t1 CSP29.g16854.t1 CSP31.g5861.t1 CSP32.g1991.t1 CSP34.Sp34_10276900.t1 CSP38.g2321.t1 CSP39.g49.t2 CSP40.g779.t2 CTROP.Csp11.Scaffold630.g21822.t1 CVIRI.g11363.t1 DCORO.DCO_006767
OG0004607: CAFRA.g14221.t1 CANGA.Cang_2012_03_13_01269.g16125.t1 CBREN.CBN01775 CBRIG.CBG21892 CCAST.g10874.t1 CDOUG.g25586.t1 CELEG.F13G3.7a CJAPO.CJA14037 CKAMA.g18536.t1 CLATE.FL83_15383-RA CMONO.g15310.t1 CNOUR.g8501.t2 CPLIC.g1763.t1 CREMA.FL82_08444-RA CSINI.Csp5_scaffold_00741.g15024.t1 CSP21.g639.t1 CSP26.g7453.t1 CSP28.g13513.t1 CSP29.g17503.t1 CSP31.g22266.t1 CSP32.g11542.t1 CSP34.Sp34_10090200.t1 CSP38.g8903.t1 CSP39.g1661.t1 CSP40.g16753.t1 CTROP.Csp11.Scaffold630.g17286.t1 CVIRI.g8502.t1 DCORO.DCO_014325
OG0004818: CAFRA.g702.t1 CANGA.Cang_2012_03_13_00017.g1116.t1 CBREN.CBN20311 CBRIG.CBG12724 CCAST.g12629.t1 CDOUG.g7487.t1 CELEG.T10B11.2 CJAPO.CJA16199 CKAMA.g12387.t1 CLATE.FL83_13471-RA CMONO.g7826.t1 CNOUR.g22277.t1 CPLIC.g2132.t1 CREMA.FL82_12385-RA CSINI.Csp5_scaffold_01138.g18688.t1 CSP21.g904.t1 CSP26.g1502.t1 CSP28.g17066.t1 CSP29.g8535.t1 CSP31.g3410.t1 CSP32.g6938.t1 CSP34.Sp34_10337500.t1 CSP38.g7891.t1 CSP39.g19712.t1 CSP40.g4842.t1 CTROP.Csp11.Scaffold555.g3745.t1 CVIRI.g14746.t1 DCORO.DCO_008015
OG0004820: CAFRA.g775.t1 CANGA.Cang_2012_03_13_00187.g6545.t1 CBREN.CBN24170 CBRIG.CBG13600 CCAST.g4615.t1 CDOUG.g7046.t1 CELEG.T06G6.9 CJAPO.CJA12515 CKAMA.g2000.t1 CLATE.FL83_13877-RA CMONO.g1130.t1 CNOUR.g11506.t1 CPLIC.g14068.t1 CREMA.FL82_12609-RA CSINI.Csp5_scaffold_00357.g10049.t1 CSP21.g2435.t1 CSP26.g8195.t1 CSP28.g2624.t1 CSP29.g10656.t1 CSP31.g805.t1 CSP32.g4750.t1 CSP34.Sp34_10016500.t1 CSP38.g7834.t1 CSP39.g6056.t1 CSP40.g9213.t1 CTROP.Csp11.Scaffold574.g4418.t1 CVIRI.g1571.t1 DCORO.DCO_022023
OG0004884: CAFRA.g2603.t1 CANGA.Cang_2012_03_13_00351.g9605.t1 CBREN.CBN06549 CBRIG.CBG03915 CCAST.g7105.t1 CDOUG.g6079.t1 CELEG.Y74C9A.5.1 CJAPO.CJA15993 CKAMA.g5516.t1 CLATE.FL83_18567-RA CMONO.g15378.t1 CNOUR.g8857.t1 CPLIC.g7353.t1 CREMA.FL82_08089-RA CSINI.Csp5_scaffold_00114.g4689.t1 CSP21.g4154.t1 CSP26.g7237.t1 CSP28.g13254.t1 CSP29.g14374.t1 CSP31.g4688.t1 CSP32.g15510.t1 CSP34.Sp34_10225900.t1 CSP38.g22072.t1 CSP39.g9155.t2 CSP40.g19750.t1 CTROP.Csp11.Scaffold591.g5120.t1 CVIRI.g13269.t1 DCORO.DCO_011843
OG0004892: CAFRA.g2747.t1 CANGA.Cang_2012_03_13_00096.g4238.t1 CBREN.CBN03523 CBRIG.CBG24152 CCAST.g9426.t1 CDOUG.g6714.t1 CELEG.T20H4.2 CJAPO.CJA07085b CKAMA.g7364.t1 CLATE.FL83_21683-RA CMONO.g9603.t1 CNOUR.g12988.t1 CPLIC.g4119.t1 CREMA.FL82_16365-RA CSINI.Csp5_scaffold_00463.g11708.t1 CSP21.g10958.t1 CSP26.g6896.t1 CSP28.g4808.t1 CSP29.g2635.t1 CSP31.g3005.t1 CSP32.g1214.t1 CSP34.Sp34_30284900.t1 CSP38.g2398.t1 CSP39.g1210.t1 CSP40.g1459.t1 CTROP.Csp11.Scaffold630.g19583.t1 CVIRI.g10092.t1 DCORO.DCO_022913
OG0004914: CAFRA.g3529.t1 CANGA.Cang_2012_03_13_00006.g532.t1 CBREN.CBN20257 CBRIG.CBG12954 CCAST.g17134.t1 CDOUG.g21869.t1 CELEG.C06A8.9a CJAPO.CJA07735 CKAMA.g8083.t1 CLATE.FL83_06945-RA CMONO.g1431.t1 CNOUR.g7571.t1 CPLIC.g8304.t1 CREMA.FL82_05607-RA CSINI.Csp5_scaffold_00159.g5918.t2 CSP21.g4696.t1 CSP26.g9324.t1 CSP28.g4563.t1 CSP29.g8197.t1 CSP31.g9694.t1 CSP32.g4434.t1 CSP34.Sp34_20145310.t1 CSP38.g274.t4 CSP39.g14108.t1 CSP40.g17097.t1 CTROP.Csp11.Scaffold504.g2399.t2 CVIRI.g1048.t1 DCORO.DCO_007225
OG0005037: CAFRA.g6051.t1 CANGA.Cang_2012_03_13_00663.g13270.t1 CBREN.CBN08399 CBRIG.CBG01489 CCAST.g4966.t1 CDOUG.g9898.t1 CELEG.F25G6.2 CJAPO.CJA18799 CKAMA.g19051.t1 CLATE.FL83_17003-RA CMONO.g5864.t1 CNOUR.g5264.t1 CPLIC.g550.t1 CREMA.FL82_08789-RA CSINI.Csp5_scaffold_01451.g20999.t1 CSP21.g1568.t1 CSP26.g20875.t1 CSP28.g8792.t1 CSP29.g110.t1 CSP31.g3514.t1 CSP32.g7266.t1 CSP34.Sp34_50116300.t1 CSP38.g12812.t1 CSP39.g4.t1 CSP40.g2817.t1 CTROP.Csp11.Scaffold613.g5948.t1 CVIRI.g1854.t1 DCORO.DCO_003157
OG0005043: CAFRA.g6115.t1 CANGA.Cang_2012_03_13_00607.g12727.t1 CBREN.CBN11554 CBRIG.CBG19074 CCAST.g8423.t1 CDOUG.g3805.t1 CELEG.Y57E12AR.1 CJAPO.CJA17610 CKAMA.g9340.t1 CLATE.FL83_15620-RA CMONO.g10883.t1 CNOUR.g5225.t1 CPLIC.g13379.t1 CREMA.FL82_11425-RA CSINI.Csp5_scaffold_01383.g20550.t1 CSP21.g12054.t1 CSP26.g3296.t1 CSP28.g8736.t1 CSP29.g75.t1 CSP31.g26640.t1 CSP32.g7206.t1 CSP34.Sp34_50229300.t1 CSP38.g7977.t1 CSP39.g1712.t1 CSP40.g21501.t1 CTROP.Csp11.Scaffold629.g8924.t1 CVIRI.g11715.t1 DCORO.DCO_023989
OG0005078: CAFRA.g6718.t1 CANGA.Cang_2012_03_13_00001.g49.t1 CBREN.CBN00910 CBRIG.CBG21259 CCAST.g12258.t1 CDOUG.g23921.t1 CELEG.K11H12.8a CJAPO.CJA03093 CKAMA.g4297.t1 CLATE.FL83_11681-RA CMONO.g1806.t1 CNOUR.g12043.t1 CPLIC.g3813.t1 CREMA.FL82_03221-RA CSINI.Csp5_scaffold_01025.g17696.t1 CSP21.g11209.t1 CSP26.g8368.t1 CSP28.g9202.t1 CSP29.g3581.t1 CSP31.g7982.t1 CSP32.g9052.t1 CSP34.Sp34_40064200.t1 CSP38.g10740.t1 CSP39.g1999.t1 CSP40.g10512.t1 CTROP.Csp11.Scaffold629.g8830.t1 CVIRI.g12226.t1 DCORO.DCO_014991
OG0005092: CAFRA.g7262.t1 CANGA.Cang_2012_03_13_00628.g12949.t1 CBREN.CBN06208 CBRIG.CBG20882 CCAST.g5744.t1 CDOUG.g23936.t1 CELEG.R03C1.3a CJAPO.CJA08090 CKAMA.g7682.t1 CLATE.FL83_09811-RA CMONO.g3829.t1 CNOUR.g246.t1 CPLIC.g4534.t1 CREMA.FL82_14510-RA CSINI.Csp5_scaffold_05312.g34768.t1 CSP21.g1269.t1 CSP26.g8455.t1 CSP28.g4609.t1 CSP29.g5107.t1 CSP31.g27171.t1 CSP32.g3652.t1 CSP34.Sp34_20058300.t1 CSP38.g9377.t1 CSP39.g3793.t1 CSP40.g5703.t1 CTROP.Csp11.Scaffold629.g16395.t1 CVIRI.g6370.t1 DCORO.DCO_018155
OG0005093: CAFRA.g7266.t2 CANGA.Cang_2012_03_13_00628.g12947.t2 CBREN.CBN03825 CBRIG.CBG20885 CCAST.g5742.t1 CDOUG.g9726.t1 CELEG.E01F3.1i CJAPO.CJA18846b CKAMA.g7679.t1 CLATE.FL83_09815-RA CMONO.g3822.t1 CNOUR.g13449.t1 CPLIC.g4204.t1 CREMA.FL82_14514-RA CSINI.Csp5_scaffold_00476.g11874.t1 CSP21.g4002.t1 CSP26.g11235.t1 CSP28.g4607.t1 CSP29.g5111.t1 CSP31.g27174.t1 CSP32.g3655.t1 CSP34.Sp34_20057600.t1 CSP38.g9382.t2 CSP39.g17379.t1 CSP40.g5706.t1 CTROP.Csp11.Scaffold630.g19550.t1 CVIRI.g11738.t1 DCORO.DCO_001466
OG0005171: CAFRA.g9760.t1 CANGA.Cang_2012_03_13_00089.g4019.t2 CBREN.CBN23466 CBRIG.CBG02604 CCAST.g8809.t1 CDOUG.g883.t1 CELEG.T24H7.2 CJAPO.CJA11497 CKAMA.g18947.t1 CLATE.FL83_04491-RA CMONO.g779.t1 CNOUR.g10729.t1 CPLIC.g11691.t1 CREMA.FL82_12115-RA CSINI.Csp5_scaffold_02189.g25319.t1 CSP21.g5580.t1 CSP26.g5282.t1 CSP28.g15381.t1 CSP29.g1318.t1 CSP31.g14234.t1 CSP32.g1644.t1 CSP34.Sp34_20129900.t1 CSP38.g1883.t1 CSP39.g9542.t1 CSP40.g8593.t1 CTROP.Csp11.Scaffold629.g11617.t1 CVIRI.g6322.t1 DCORO.DCO_004289
OG0005184: CAFRA.g10007.t1 CANGA.Cang_2012_03_13_00381.g10043.t1 CBREN.CBN12769 CBRIG.CBG06147 CCAST.g13683.t1 CDOUG.g16345.t1 CELEG.H21P03.3b CJAPO.CJA09962 CKAMA.g11632.t1 CLATE.FL83_04937-RA CMONO.g11276.t1 CNOUR.g14103.t1 CPLIC.g5633.t1 CREMA.FL82_03835-RA CSINI.Csp5_scaffold_00164.g6034.t1 CSP21.g3164.t1 CSP26.g21899.t1 CSP28.g10829.t1 CSP29.g19882.t1 CSP31.g26754.t1 CSP32.g14798.t1 CSP34.Sp34_40328100.t1 CSP38.g5491.t1 CSP39.g6485.t1 CSP40.g731.t1 CTROP.Csp11.Scaffold507.g2454.t1 CVIRI.g10541.t1 DCORO.DCO_009589
OG0005186: CAFRA.g10021.t1 CANGA.Cang_2012_03_13_00070.g3355.t1 CBREN.CBN01529 CBRIG.CBG06126 CCAST.g1147.t1 CDOUG.g5933.t1 CELEG.F12F6.5a CJAPO.CJA03407 CKAMA.g11783.t1 CLATE.FL83_23748-RA CMONO.g11963.t3 CNOUR.g21827.t1 CPLIC.g3158.t1 CREMA.FL82_03847-RA CSINI.Csp5_scaffold_00164.g6051.t1 CSP21.g12199.t1 CSP26.g13156.t1 CSP28.g10841.t1 CSP29.g19895.t1 CSP31.g7783.t1 CSP32.g9888.t1 CSP34.Sp34_40326200.t1 CSP38.g15179.t1 CSP39.g9417.t2 CSP40.g742.t1 CTROP.Csp11.Scaffold507.g2474.t1 CVIRI.g3892.t1 DCORO.DCO_003159
OG0005199: CAFRA.g10266.t1 CANGA.Cang_2012_03_13_00466.g11181.t1 CBREN.CBN02442 CBRIG.CBG22065 CCAST.g7600.t1 CDOUG.g11642.t1 CELEG.Y48G1A.3 CJAPO.CJA15058b CKAMA.g8283.t1 CLATE.FL83_11525-RA CMONO.g348.t1 CNOUR.g21915.t1 CPLIC.g5060.t1 CREMA.FL82_16977-RA CSINI.Csp5_scaffold_01631.g22190.t1 CSP21.g7111.t1 CSP26.g866.t1 CSP28.g3882.t1 CSP29.g17689.t1 CSP31.g20265.t1 CSP32.g8834.t1 CSP34.Sp34_10249900.t1 CSP38.g19732.t1 CSP39.g5771.t1 CSP40.g9785.t1 CTROP.Csp11.Scaffold629.g15186.t1 CVIRI.g8323.t1 DCORO.DCO_012875
OG0005210: CAFRA.g10394.t1 CANGA.Cang_2012_03_13_11939.g23487.t1 CBREN.CBN29153 CBRIG.CBG02460 CCAST.g4107.t1 CDOUG.g1918.t1 CELEG.F59E12.11a CJAPO.CJA04736 CKAMA.g14318.t1 CLATE.FL83_04379-RA CMONO.g7536.t1 CNOUR.g6069.t1 CPLIC.g2562.t1 CREMA.FL82_12008-RA CSINI.Csp5_scaffold_00331.g9562.t1 CSP21.g4088.t1 CSP26.g5464.t1 CSP28.g14433.t1 CSP29.g1119.t1 CSP31.g23553.t1 CSP32.g11292.t1 CSP34.Sp34_20112500.t1 CSP38.g5183.t1 CSP39.g5881.t1 CSP40.g7095.t2 CTROP.Csp11.Scaffold629.g11359.t2 CVIRI.g3090.t1 DCORO.DCO_019061
OG0005218: CAFRA.g10584.t1 CANGA.Cang_2012_03_13_00179.g6328.t1 CBREN.CBN31219 CBRIG.CBG08558 CCAST.g16798.t1 CDOUG.g13422.t3 CELEG.K10C8.3a.1 CJAPO.CJA06991 CKAMA.g11687.t1 CLATE.FL83_18286-RB CMONO.g1618.t3 CNOUR.g14811.t1 CPLIC.g3099.t1 CREMA.FL82_11118-RA CSINI.Csp5_scaffold_00439.g11399.t2 CSP21.g5607.t1 CSP26.g19287.t1 CSP28.g6348.t1 CSP29.g19424.t1 CSP31.g10577.t1 CSP32.g16195.t1 CSP34.Sp34_50177310.t1 CSP38.g19820.t1 CSP39.g13456.t1 CSP40.g18488.t1 CTROP.Csp11.Scaffold476.g1716.t1 CVIRI.g3.t1 DCORO.DCO_011623
OG0005219: CAFRA.g10619.t1 CANGA.Cang_2012_03_13_00555.g12185.t1 CBREN.CBN02245 CBRIG.CBG02518 CCAST.g9165.t1 CDOUG.g26347.t1 CELEG.ZK1248.16.1 CJAPO.CJA05399 CKAMA.g583.t1 CLATE.FL83_04421-RA CMONO.g18038.t1 CNOUR.g6101.t1 CPLIC.g14030.t1 CREMA.FL82_12047-RA CSINI.Csp5_scaffold_00105.g4415.t1 CSP21.g9223.t1 CSP26.g5520.t1 CSP28.g15346.t1 CSP29.g1142.t1 CSP31.g22110.t1 CSP32.g12992.t1 CSP34.Sp34_20117700.t1 CSP38.g8499.t1 CSP39.g14196.t1 CSP40.g7042.t1 CTROP.Csp11.Scaffold630.g19426.t1 CVIRI.g4513.t1 DCORO.DCO_016099
